# dt = 0.00020 ps ; n_timesteps = 10000
# masses = [1.66e-03, 1.24e-03, 1.66e-03] m_asu ; kappa = 9.9825e+01 m_asu ps^(-2)
# f[1/ps], p_1[Å^-2], p_2[Å^-2], p_3[Å^-2]
-2.34427e+03, 6.50104e-11, 4.92809e-09, 1.99264e-09 
-2.34377e+03, 6.50146e-11, 4.92840e-09, 1.99277e-09 
-2.34327e+03, 6.50189e-11, 4.92871e-09, 1.99289e-09 
-2.34277e+03, 6.50231e-11, 4.92902e-09, 1.99301e-09 
-2.34227e+03, 6.50273e-11, 4.92932e-09, 1.99314e-09 
-2.34177e+03, 6.50316e-11, 4.92963e-09, 1.99326e-09 
-2.34127e+03, 6.50359e-11, 4.92994e-09, 1.99339e-09 
-2.34077e+03, 6.50401e-11, 4.93026e-09, 1.99352e-09 
-2.34027e+03, 6.50444e-11, 4.93057e-09, 1.99364e-09 
-2.33977e+03, 6.50487e-11, 4.93088e-09, 1.99377e-09 
-2.33927e+03, 6.50531e-11, 4.93120e-09, 1.99390e-09 
-2.33877e+03, 6.50574e-11, 4.93151e-09, 1.99402e-09 
-2.33827e+03, 6.50618e-11, 4.93183e-09, 1.99415e-09 
-2.33777e+03, 6.50661e-11, 4.93215e-09, 1.99428e-09 
-2.33727e+03, 6.50705e-11, 4.93247e-09, 1.99441e-09 
-2.33677e+03, 6.50749e-11, 4.93279e-09, 1.99454e-09 
-2.33627e+03, 6.50793e-11, 4.93311e-09, 1.99467e-09 
-2.33577e+03, 6.50837e-11, 4.93343e-09, 1.99480e-09 
-2.33527e+03, 6.50882e-11, 4.93375e-09, 1.99493e-09 
-2.33477e+03, 6.50926e-11, 4.93408e-09, 1.99506e-09 
-2.33427e+03, 6.50971e-11, 4.93440e-09, 1.99519e-09 
-2.33377e+03, 6.51015e-11, 4.93473e-09, 1.99532e-09 
-2.33327e+03, 6.51060e-11, 4.93506e-09, 1.99545e-09 
-2.33277e+03, 6.51105e-11, 4.93538e-09, 1.99559e-09 
-2.33227e+03, 6.51151e-11, 4.93571e-09, 1.99572e-09 
-2.33177e+03, 6.51196e-11, 4.93604e-09, 1.99585e-09 
-2.33127e+03, 6.51241e-11, 4.93637e-09, 1.99599e-09 
-2.33077e+03, 6.51287e-11, 4.93671e-09, 1.99612e-09 
-2.33027e+03, 6.51333e-11, 4.93704e-09, 1.99626e-09 
-2.32977e+03, 6.51379e-11, 4.93737e-09, 1.99639e-09 
-2.32927e+03, 6.51425e-11, 4.93771e-09, 1.99653e-09 
-2.32877e+03, 6.51471e-11, 4.93804e-09, 1.99666e-09 
-2.32827e+03, 6.51517e-11, 4.93838e-09, 1.99680e-09 
-2.32777e+03, 6.51563e-11, 4.93872e-09, 1.99693e-09 
-2.32727e+03, 6.51610e-11, 4.93906e-09, 1.99707e-09 
-2.32677e+03, 6.51657e-11, 4.93940e-09, 1.99721e-09 
-2.32627e+03, 6.51704e-11, 4.93974e-09, 1.99735e-09 
-2.32577e+03, 6.51751e-11, 4.94008e-09, 1.99748e-09 
-2.32527e+03, 6.51798e-11, 4.94042e-09, 1.99762e-09 
-2.32477e+03, 6.51845e-11, 4.94077e-09, 1.99776e-09 
-2.32427e+03, 6.51892e-11, 4.94111e-09, 1.99790e-09 
-2.32377e+03, 6.51940e-11, 4.94146e-09, 1.99804e-09 
-2.32327e+03, 6.51988e-11, 4.94181e-09, 1.99818e-09 
-2.32277e+03, 6.52036e-11, 4.94216e-09, 1.99832e-09 
-2.32227e+03, 6.52083e-11, 4.94250e-09, 1.99846e-09 
-2.32177e+03, 6.52132e-11, 4.94286e-09, 1.99861e-09 
-2.32127e+03, 6.52180e-11, 4.94321e-09, 1.99875e-09 
